#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 04  2.4  0.27 15.5  14.8
2020 06 04  2.4  0.25 15.5  14.8
2020 06 04  2.9  0.24 15.5  14.8
2020 06 04  2.6  0.23 15.5  14.8
2020 06 04  2.7  0.24 15.5  14.7
2020 06 04  3.3  0.24 15.7  14.7
2020 06 04  3.3  0.22 15.9  14.8
2020 06 04  3.2  0.22 15.8  14.8
2020 06 04  3.0  0.21 15.9  14.7
2020 06 04  3.2  0.22 15.9  14.8
2020 06 04  3.7  0.21 16.3  14.7
2020 06 04  3.7  0.20 16.5  14.7
2020 06 04  3.5  0.21 16.5  14.7
2020 06 04  2.8  0.20 16.2  14.7
2020 06 04  2.7  0.22 15.9  14.7
2020 06 04  3.0  0.20 16.2  14.6
2020 06 04  3.0  0.21 16.3  14.6
2020 06 04  2.8  0.19 16.5  14.6
2020 06 04  2.7  0.19 16.4  14.5
2020 06 04  3.0  0.20 16.4  14.5
2020 06 04  2.8  0.19 16.5  14.5
2020 06 04  2.9  0.19 16.2  14.4
2020 06 04  3.0  0.19 16.0  14.4
2020 06 04  3.6  0.19 16.1  14.3
2020 06 04  3.0  0.19 16.1  14.3
2020 06 04  3.6  0.20 16.0  14.3
2020 06 04  3.1  0.20 16.1  14.3
2020 06 04  2.2  0.21 16.0  14.2
2020 06 04  3.2  0.21 16.2  14.2
2020 06 04  4.0  0.23 16.2  14.2
2020 06 04  3.7  0.27 16.1  14.2
2020 06 04  3.5  0.31 16.1  14.2
2020 06 04  3.0  0.30 16.0  14.1
2020 06 04  3.2  0.30 16.0  14.1
2020 06 04  3.4  0.29 16.0  14.1
2020 06 04  3.6  0.31 16.0  14.1
2020 06 04  3.8  0.33 16.0  14.1
2020 06 04  3.8  0.30 15.9  14.1
2020 06 04  3.7  0.30 15.9  14.1
2020 06 04  4.4  0.32 16.1  14.0
2020 06 04  4.5  0.31 16.2  14.0
2020 06 04  4.2  0.34 16.1  14.0
2020 06 04  4.1  0.34 16.0  13.9
2020 06 04  3.0  0.36 16.0  13.9
2020 06 04  2.0  0.36 14.7  13.9
2020 06 04  2.0  0.33 15.7  13.9
2020 06 04  2.4  0.35 15.5  13.9
2020 06 04  0.6  0.29 15.7  13.9
2020 06 04  0.3  0.32 15.8  13.9
2020 06 04  1.7  0.33 15.4  13.9
2020 06 04  1.7  0.30 15.0  13.9
2020 06 04  1.7  0.31 14.8  13.8
2020 06 04  2.1  0.30 15.1  13.8
2020 06 04  2.3  0.27 15.1  13.8
2020 06 04  2.3  0.29 15.3  13.8
2020 06 04  1.6  0.28 15.4  13.8
2020 06 04  1.7  0.32 15.5  13.8
2020 06 04  2.1  0.31 15.5  13.8
2020 06 04  2.0  0.33 15.9  13.8
2020 06 04  1.4  0.35 16.1  13.8
2020 06 04  1.6  0.30 16.2  13.8
2020 06 04  2.0  0.34 16.3  13.8
2020 06 04  2.1  0.30 16.7  13.8
2020 06 04  2.1  0.29 16.5  13.8
2020 06 04  2.3  0.29 16.4  13.9
2020 06 04  2.7  0.26 16.2  13.8
2020 06 04  2.5  0.26 16.2  13.9
2020 06 04  3.6  0.26 16.1  13.9
2020 06 04  4.1  0.27 16.1  13.9
2020 06 04  3.8  0.28 16.0  14.0
2020 06 04  3.4  0.26 16.0  14.1
2020 06 04  3.2  0.23 16.0  14.1
2020 06 04  3.1  0.23 16.0  14.1
2020 06 04  2.9  0.25 16.0  14.1
2020 06 04  3.1  0.22 16.0  14.1
2020 06 04  2.9  0.21 16.2  14.2
2020 06 04  3.0  0.21 16.4  14.2
2020 06 04  3.2  0.20 16.5  14.2
2020 06 04  3.4  0.20 16.5  14.3
2020 06 04  3.3  0.19 16.5  14.4
2020 06 04  3.1  0.19 16.4  14.5
2020 06 04  3.1  0.20 16.3  14.5
2020 06 04  3.2  0.19 16.3  14.5
2020 06 04  2.9  0.19 16.3  14.5
2020 06 04  2.4  0.19 16.3  14.6
2020 06 04  2.4  0.18 16.2  14.6
2020 06 04  2.0  0.18 16.2  14.6
2020 06 04  3.2  0.19 16.2  14.6
2020 06 04  3.2  0.18 15.9  14.6
2020 06 04  3.1  0.17 15.6  14.7
2020 06 04  2.9  0.17 15.4  14.8
2020 06 04  2.9  0.19 15.2  14.8
2020 06 04  2.4  0.18 14.9  14.9
2020 06 04  2.2  0.18 14.8  14.8
2020 06 04  2.2  0.22 14.7  14.9
2020 06 04  2.8  0.20 14.6  14.8
2020 06 04  3.3  0.18 14.7  14.9
2020 06 04  3.2  0.17 14.8  15.0
2020 06 04  3.0  0.17 14.9  15.0
2020 06 04  2.6  0.16 15.0  15.0
2020 06 04  3.7  0.18 15.0  15.1
2020 06 04  3.1  0.15 15.0  15.3
2020 06 04  2.9  0.16 15.1  15.2
2020 06 04  2.6  0.16 15.3  15.1
2020 06 04  2.8  0.16 15.3  15.3
2020 06 04  2.4  0.14 15.3  15.3
2020 06 04  2.3  0.15 15.3  15.3
2020 06 04  2.0  0.13 15.3  15.3
2020 06 04  1.6  0.13 15.3  15.3
2020 06 04  1.3  0.12 15.5  15.5
2020 06 04  1.3  0.13 15.5  15.5
2020 06 04  0.4  0.12 15.7  15.4
2020 06 04  1.1  0.12 15.6  15.4
2020 06 04  1.4  0.14 15.5  15.4
2020 06 04  1.9  0.12 15.3  15.4
2020 06 04  1.9  0.12 15.2  15.3
2020 06 04  1.4  0.13 15.3  15.2
2020 06 04  1.2  0.12 15.2  15.2
